,tic,PERMNO,VOL,RET,risk_premium,SPREAD,size,s2p,epspxq,ceqq,mktrf,smb,hml,rf,umd,sprtrn,date_merge,sizeln
7203,SLAB,87812,210801.0,0.070704,0.024704000000000004,0.125,1644936.7000000002,6.086070059717191e-05,0.29,703.545,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,14.313212461198065
7204,MET,87842,974779.0,0.009791,-0.036209,0.75,43303719.95,0.00028422500455414106,1.42,35178.0,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,17.583749100368024
7205,CADE,87843,2512.0,-0.081947,-0.127947,0.09375,177369.6,0.001459641336508624,0.39,1196.626,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,12.085990970024287
7206,EXEL,88159,207330.0,0.094964,0.04896400000000001,2.75,799894.7100000001,3.656731271544476e-05,-0.19,72.081,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,13.59223538548838
7207,CRL,88281,142701.0,-0.0151,-0.0611,0.0625,3962783.25,8.025369542984719e-05,0.58,1860.467,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,15.192457177262753
7208,SPTN,88568,55190.0,0.001439,-0.044560999999999996,0.125,457501.68,0.0017220373922998491,0.48,200.402,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,13.033535835822118
7209,WW,88730,17184.0,-0.03537,-0.08137,0.125,132039.0,0.0023577503616355774,0.24,-736.512,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,11.790852612475863
7210,SHEN,88742,8049.0,-0.086253,-0.132253,2.75,319066.8,0.00010847258317067148,0.19,151.124,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,12.673155764233657
7211,GRMN,88837,1398304.0,-0.242733,-0.288733,0.25,8820248.6,0.00013798035125676616,1.42,2350.614,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,15.9925606135268
7212,FLO,88924,132296.0,0.046061,6.0999999999998555e-05,0.25,2385685.83,0.00019854416455162497,0.23,656.215,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,14.684997200715626
7213,FIS,89003,475591.0,-0.054536,-0.100536,0.5,7176156.36,0.0001191863662234918,0.24,3781.179,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,15.786274471781045
7214,PFG,89195,368038.0,-0.036971,-0.08297099999999999,0.5,13877924.819999998,0.00018476105276955956,0.05,7421.6,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,16.445809993219868
7215,PRU,89258,692919.0,-0.03246,-0.07846,0.5,33176121.999999996,0.0002654921512526389,1.76,23457.0,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,17.31734095825872
7216,ABG,89327,80313.0,0.210029,0.16402899999999998,0.25,531384.75,0.002429877786293265,0.35,584.225,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,13.18324161411661
7218,CPSI,89387,16445.0,-0.089952,-0.13595200000000002,0.0625,205929.54,0.00013650785603658416,0.36,38.378,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,12.235289350428143
7219,CMCSA,89525,3542111.0,0.062565,0.016564999999999996,0.25,41842163.25,0.00019152929431773583,0.2,41340.0,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,17.54941507930026
7220,SAFT,89575,23124.0,0.051861,0.005860999999999998,0.3125,583375.0,0.00028275123205485323,1.06,570.0,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,13.276585483252116
7221,EQIX,89617,257760.0,0.359904,0.313904,0.25,3333152.46,4.161645819225443e-05,-0.17,814.432,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,15.019429098817975
7222,STX,89641,1953859.0,-0.093123,-0.139123,0.25,9146043.690000001,0.0003739321739452569,0.77,5082.0,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,16.0288319601404
7223,FORM,89753,256910.0,0.008901,-0.037099,0.0625,940780.6699999999,0.00012809042940901413,0.3,756.95,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,13.754465309571883
7224,MOH,89781,97456.0,0.01679,-0.02921,1.0,707133.57,0.0009611041376525231,0.63,490.478,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,13.468974852069984
7225,CVCO,89792,10705.0,0.139269,0.093269,0.875,257563.84,0.00012388773206673732,0.21,144.786,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,12.459022890688363
7226,CNO,89841,243780.0,0.142157,0.096157,0.0625,2152454.0,0.0005193606924933123,-0.38,4235.9,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,14.582119144556252
7227,CMP,89952,172894.0,0.068159,0.022158999999999998,0.125,2040822.0,0.00015978855578781492,1.53,-4.6,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,14.528863225837874
7228,PETS,90012,42308.0,0.011722,-0.034278,0.03125,266261.82,0.00014027170699877284,0.18,68.259,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,12.492235389386568
7229,NRG,90071,657156.0,0.127212,0.08121199999999999,0.25,10352290.65,0.00013349702464159465,0.36,4612.0,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,16.15271837202883
7230,CRM,90215,418023.0,0.153102,0.10710199999999999,0.1,7960889.000000001,2.4218777576222954e-05,0.06,401.295,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,15.890051235001522
7231,ACC,90300,140966.0,0.115863,0.069863,0.0625,1116207.33,3.810761572404295e-05,0.23,444.377,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,13.925447184238399
